Object 1 2 3
DES_SN705161.DAT 0.1768316626548767 0.2819559872150421 0.5412123203277588
DES_SN257821.DAT 0.24119216203689575 0.6932401061058044 0.065567746758461
DES_SN114623.DAT 0.585831880569458 0.36975231766700745 0.04441577568650246
DES_SN531923.DAT 0.06657421588897705 0.8393385410308838 0.09408727288246155
DES_SN401377.DAT 0.51534503698349 0.3060840666294098 0.17857086658477783
DES_SN242631.DAT 0.04129739850759506 0.9096248149871826 0.04907776415348053
DES_SN342574.DAT 0.37969785928726196 0.3776825964450836 0.24261954426765442
DES_SN029052.DAT 0.048868726938962936 0.9333899021148682 0.01774134859442711
DES_SN398412.DAT 0.05811509117484093 0.9222397804260254 0.019645100459456444
DES_SN741244.DAT 0.04983565956354141 0.9501643180847168 0.0
DES_SN738922.DAT 0.10687080770730972 0.8766607046127319 0.016468502581119537
DES_SN380551.DAT 0.11436424404382706 0.8779656887054443 0.00767007889226079
DES_SN094464.DAT 0.7056185603141785 0.17987126111984253 0.1145101860165596
DES_SN296151.DAT 0.13265259563922882 0.8598695397377014 0.007477845996618271
DES_SN100803.DAT 0.0349578820168972 0.9391484260559082 0.025893699377775192
DES_SN620170.DAT 0.08109056949615479 0.9021844267845154 0.01672503352165222
DES_SN030041.DAT 0.5598654747009277 0.38193392753601074 0.05820058286190033
DES_SN202822.DAT 0.04674666374921799 0.9532533288002014 0.0
DES_SN780649.DAT 0.729561448097229 0.12261398136615753 0.14782458543777466
DES_SN631384.DAT 0.7459889650344849 0.05984894931316376 0.19416207075119019
DES_SN852760.DAT 0.03641872480511665 0.8937572836875916 0.0698239877820015
DES_SN834988.DAT 0.5596329569816589 0.39558592438697815 0.04478112608194351
DES_SN695958.DAT 0.10227307677268982 0.8814647197723389 0.016262222081422806
DES_SN725066.DAT 0.3764074146747589 0.08078951388597488 0.5428030490875244
DES_SN446689.DAT 0.0065634725615382195 0.9693918228149414 0.024044711142778397
DES_SN105453.DAT 0.6052699089050293 0.34074482321739197 0.053985271602869034
DES_SN690943.DAT 0.5950748920440674 0.33942461013793945 0.06550050526857376
DES_SN598186.DAT 0.05706850439310074 0.9321109056472778 0.010820608586072922
DES_SN147860.DAT 0.40120574831962585 0.5725383758544922 0.02625586837530136
DES_SN722220.DAT 0.43722864985466003 0.5113487243652344 0.05142263323068619
DES_SN538975.DAT 0.03863935545086861 0.9117124080657959 0.0496482290327549
DES_SN626445.DAT 0.07344385981559753 0.8864545226097107 0.04010162502527237
DES_SN035951.DAT 0.44754502177238464 0.3671056032180786 0.18534937500953674
DES_SN420661.DAT 0.5816253423690796 0.3159825801849365 0.10239208489656448
DES_SN647996.DAT 0.5233111381530762 0.3624090254306793 0.11427982896566391
DES_SN050755.DAT 0.08575847744941711 0.9091969728469849 0.0050445664674043655
DES_SN210840.DAT 0.09752732515335083 0.8598054647445679 0.04266723617911339
DES_SN639852.DAT 0.07151269167661667 0.9104807376861572 0.018006572499871254
DES_SN641128.DAT 0.07474945485591888 0.888225257396698 0.03702526539564133
DES_SN642721.DAT 0.11667303740978241 0.8670092225074768 0.016317708417773247
DES_SN817236.DAT 0.16332854330539703 0.8273420929908752 0.009329360909759998
DES_SN188965.DAT 0.004137757699936628 0.9742029309272766 0.021659305319190025
DES_SN535619.DAT 0.01943313144147396 0.8804978132247925 0.1000690758228302
DES_SN819708.DAT 0.7902429699897766 0.03673004359006882 0.17302700877189636
DES_SN659492.DAT 0.04112286493182182 0.9137385487556458 0.04513857141137123
DES_SN438167.DAT 0.044960781931877136 0.45780718326568604 0.497232049703598
DES_SN328963.DAT 0.028022628277540207 0.9558481574058533 0.01612921617925167
DES_SN650827.DAT 0.1820196807384491 0.8036895394325256 0.014290775172412395
DES_SN754517.DAT 0.5422419905662537 0.17114707827568054 0.2866109609603882
DES_SN728045.DAT 0.1121705025434494 0.8735736608505249 0.01425583939999342
DES_SN147883.DAT 0.02239179238677025 0.9460254907608032 0.03158273920416832
DES_SN827347.DAT 0.6990442276000977 0.24789893627166748 0.05305685102939606
DES_SN827122.DAT 0.6764299273490906 0.03984789922833443 0.2837221920490265
DES_SN399286.DAT 0.4488617479801178 0.4583430886268616 0.09279516339302063
DES_SN395095.DAT 0.17725951969623566 0.18430480360984802 0.6384356617927551
DES_SN050500.DAT 0.45033350586891174 0.48333078622817993 0.06633570045232773
DES_SN076317.DAT 0.05136401206254959 0.8033002614974976 0.14533574879169464
DES_SN605161.DAT 0.018527407199144363 0.8978720307350159 0.08360058814287186
DES_SN797253.DAT 0.10268078744411469 0.8973191976547241 0.0
DES_SN360099.DAT 0.02932138927280903 0.9389082193374634 0.031770411878824234
DES_SN827955.DAT 0.8060117959976196 0.05003060773015022 0.14395758509635925
DES_SN229405.DAT 0.00521444296464324 0.9849354028701782 0.009850159287452698
DES_SN820827.DAT 0.09229639172554016 0.8941429257392883 0.013560697436332703
DES_SN220694.DAT 0.6679093241691589 0.27007654309272766 0.06201411783695221
DES_SN868918.DAT 0.30757614970207214 0.6717746257781982 0.020649218931794167
DES_SN072795.DAT 0.05457047000527382 0.887797474861145 0.05763205885887146
DES_SN068339.DAT 0.7867735028266907 0.011648444458842278 0.2015780657529831
DES_SN340145.DAT 0.15801697969436646 0.2052178680896759 0.63676518201828
DES_SN870580.DAT 0.08523710817098618 0.8987436294555664 0.016019277274608612
DES_SN638387.DAT 0.5176882743835449 0.40518486499786377 0.0771268755197525
DES_SN401471.DAT 0.020098509266972542 0.8917760252952576 0.08812545239925385
